"Salgspris"	"Dato"	"Kvadratmeterpris"	"AntalVarelser"	"Postnummer"	"Hustype"	"Kvadratmeter"	"Byggeaar"	"Prisreduktion"
3825000	2011-05-19	30846	4	2610	"Hus"	124	1966	0
2935000	2011-05-17	22404	5	2610	"Hus"	131	1951	7.40740740740742
3325000	2011-05-15	22619	5	2610	"Hus"	147	1936	4.76190476190477
3310000	2011-05-12	26480	3	2610	"Hus"	125	1935	3.84615384615385
3e+06	2011-05-06	17647	6	2610	"Hus"	170	1928	5.66037735849058
1650000	2011-04-29	20625	3	2610	"Hus"	80	1938	5.66037735849058
2450000	2011-04-28	18560	4	2610	"Hus"	132	1923	12.280701754386
2450000	2011-04-20	14939	5	2610	"Hus"	164	1930	7.40740740740742
2900000	2011-04-18	26126	5	2610	"Hus"	111	1952	2.9126213592233
750000	2011-04-14	9615	3	2610	"Hus"	78	1949	0
2800000	2011-04-10	21052	6	2610	"Hus"	133	1936	5.66037735849058
3600000	2011-04-10	21301	6	2610	"Hus"	169	1962	9.09090909090909
3100000	2011-04-09	16577	3	2610	"Hus"	187	1937	5.66037735849058
2500000	2011-04-06	22123	5	2610	"Hus"	113	1936	9.09090909090909
1492500	2011-04-05	10974	6	2610	"Hus"	136	1937	0
2875000	2011-04-03	37828	3	2610	"Hus"	76	1938	6.54205607476636
1950000	2011-03-30	21666	3	2610	"Hus"	90	1960	6.54205607476636
1750000	2011-03-29	24305	3	2610	"Hus"	72	1938	4.76190476190477
2700000	2011-03-21	20149	6	2610	"Hus"	134	1938	9.09090909090909
3900000	2011-03-18	33620	5	2610	"Hus"	116	1923	0
502500	2011-03-17	5583	3	2610	"Hus"	90	1944	0
2050000	2011-03-15	15891	4	2610	"Hus"	129	1973	6.54205607476636
825000	2011-03-11	9375	4	2610	"Hus"	88	1935	0
2850000	2011-03-08	22983	4	2610	"Hus"	124	1962	4.76190476190477
2500000	2011-03-07	21008	5	2610	"Hus"	119	1933	0
2900000	2011-03-07	16477	6	2610	"Hus"	176	1938	2.9126213592233
2200000	2011-03-01	17886	4	2610	"Hus"	123	1938	7.40740740740742
2815000	2011-02-28	14894	5	2610	"Hus"	189	1928	4.76190476190477
3900000	2011-02-25	38235	4	2610	"Hus"	102	1951	0
2400000	2011-02-24	14035	6	2610	"Hus"	171	1935	13.7931034482759
1600000	2011-02-22	18390	4	2610	"Hus"	87	1957	0
3e+06	2011-02-12	19354	6	2610	"Hus"	155	1936	2.9126213592233
2400000	2011-02-09	24242	4	2610	"Hus"	99	1954	2.9126213592233
2995000	2011-02-08	36084	3	2610	"Hus"	83	1938	0
3350000	2011-02-07	28151	4	2610	"Hus"	119	1951	6.54205607476636
1400000	2011-02-03	8641	5	2610	"Hus"	162	2012	15.9663865546218
2950000	2011-01-31	19536	4	2610	"Hus"	151	1934	9.09090909090909
1800000	2011-01-30	18000	3	2610	"Hus"	100	1933	7.40740740740742
3100000	2011-01-29	16577	6	2610	"Hus"	187	1937	2.9126213592233
2199000	2011-01-26	14660	6	2610	"Hus"	150	1960	0
3360000	2011-01-23	17319	5	2610	"Hus"	194	1954	3.84615384615385
2750000	2011-01-23	34375	4	2610	"Hus"	80	1937	4.76190476190477
1300000	2011-01-20	15853	3	2610	"Hus"	82	1960	0
4100000	2011-01-18	25465	6	2610	"Hus"	161	1980	3.84615384615385
2e+06	2011-01-17	11235	8	2610	"Hus"	178	1926	19.3548387096774
2850000	2011-01-16	21755	5	2610	"Hus"	131	1935	4.76190476190477
2e+06	2011-01-16	19230	4	2610	"Hus"	104	1958	1.96078431372549
2750000	2011-01-10	21317	5	2610	"Hus"	129	1938	10.7142857142857
2700000	2011-01-05	15168	7	2610	"Hus"	178	1928	5.66037735849058
3700000	2012-10-08	26428	6	2750	"Hus"	140	1941	0
2880000	2012-10-01	20571	6	2750	"Hus"	140	1944	-16.2790697674419
3055000	2012-09-27	17457	5	2750	"Hus"	175	1965	0
2500000	2012-09-14	16233	4	2750	"Hus"	154	1969	0
2500000	2012-09-13	16666	6	2750	"Hus"	150	1968	15.9663865546218
3500000	2012-08-26	23178	5	2750	"Hus"	151	1969	1.96078431372549
1624467	2012-08-09	9966	6	2750	"Hus"	163	1970	0
4500000	2012-07-18	25568	6	2750	"Hus"	176	1985	0
2890000	2012-07-16	21729	4	2750	"Hus"	133	1971	0
1840000	2012-07-16	15081	3	2750	"Hus"	122	1957	11.5044247787611
2250000	2012-07-15	15845	6	2750	"Hus"	142	1938	9.09090909090909
2995000	2012-07-03	22185	5	2750	"Hus"	135	1969	0
3e+06	2012-07-02	21582	5	2750	"Hus"	139	1969	7.40740740740742
2400000	2012-06-29	17777	6	2750	"Hus"	135	1959	0.990099009900991
2850000	2012-06-25	18387	5	2750	"Hus"	155	1968	10.7142857142857
2900000	2012-06-20	19463	4	2750	"Hus"	149	1966	2.9126213592233
4295000	2012-06-12	27183	5	2750	"Hus"	158	1979	0
2400000	2012-06-10	21052	4	2750	"Hus"	114	1958	3.84615384615385
3595000	2012-06-10	19122	5	2750	"Hus"	188	1965	0
1600000	2012-06-06	12698	5	2750	"Hus"	126	1936	5.66037735849058
