"AntalVarelser"	"Udbudspris"	"NetPrMd"	"Kvadratmeter"	"KvadratmeterGrund"	"Byggeaar"	"Kvadratmeterpris"	"Postnummer"	"Hustype"	"FoerstUdbudt"	"SamletLiggetid"	"Solgt270"	"Solgt180"	"Solgt90"	"Solgt"
3	1595000	9316	75	378	1943	21266	2610	"Rakkehus"	2011-04-15	55	TRUE	TRUE	TRUE	TRUE
6	3850000	21834	146	803	1931	26369	2720	"Hus"	2011-04-16	12	TRUE	TRUE	TRUE	TRUE
6	1998000	11714	112	692	1954	17839	2610	"Hus"	2011-04-16	233	TRUE	FALSE	FALSE	TRUE
5	1500000	9307	140	706	1922	10714	2750	"Hus"	2011-04-16	323	FALSE	FALSE	FALSE	FALSE
9	5745000	28286	222	827	1927	25878	2720	"Hus"	2011-04-17	376	FALSE	FALSE	FALSE	FALSE
6	2695000	15068	150	1020	1931	17966	2750	"Hus"	2011-04-17	326	FALSE	FALSE	FALSE	TRUE
3	2295000	13307	60	220	1944	38250	2720	"Rakkehus"	2011-04-17	16	TRUE	TRUE	TRUE	TRUE
3	1895000	10884	71	315	1860	26690	2610	"Rakkehus"	2011-04-17	32	TRUE	TRUE	TRUE	TRUE
6	5225000	26125	155	617	1939	33709	2720	"Hus"	2011-04-18	401	FALSE	FALSE	FALSE	TRUE
4	2395000	12480	88	405	1944	27215	2610	"Rakkehus"	2011-04-19	343	FALSE	FALSE	FALSE	FALSE
4	2999999	16364	104	751	1933	28846	2720	"Hus"	2011-04-20	293	FALSE	FALSE	FALSE	FALSE
4	2495000	12959	81	736	1960	30802	2610	"Hus"	2011-04-20	187	FALSE	FALSE	FALSE	FALSE
5	2395000	12552	116	309	1972	20646	2610	"Rakkehus"	2011-04-20	128	TRUE	TRUE	FALSE	TRUE
5	3640000	19374	128	676	1968	28437	2720	"Hus"	2011-04-21	144	TRUE	TRUE	FALSE	TRUE
5	5295000	25929	165	778	1936	32090	2720	"Hus"	2011-04-21	376	FALSE	FALSE	FALSE	TRUE
7	4295000	21711	173	927	1924	24826	2720	"Hus"	2011-04-21	188	FALSE	FALSE	FALSE	FALSE
6	3195000	17021	170	715	1928	18794	2610	"Hus"	2011-04-21	20	TRUE	TRUE	TRUE	TRUE
3	1995000	11613	101	651	1938	19752	2610	"Hus"	2011-04-21	77	FALSE	FALSE	FALSE	FALSE
4	2195000	11587	96	569	1944	22864	2610	"Hus"	2011-04-21	441	FALSE	FALSE	FALSE	TRUE
4	2995000	16928	118	129	2010	25381	2720	"Rakkehus"	2011-04-21	103	TRUE	TRUE	FALSE	TRUE
5	7695000	38295	245	1129	1911	31408	2720	"Hus"	2011-04-22	143	FALSE	FALSE	FALSE	FALSE
5	3498000	17372	118	209	1966	29644	2720	"Rakkehus"	2011-04-22	427	FALSE	FALSE	FALSE	TRUE
5	3850000	21704	130	838	1910	29615	2720	"Hus"	2011-04-23	18	TRUE	TRUE	TRUE	TRUE
5	3195000	14556	142	612	1932	22500	2610	"Hus"	2011-04-23	263	FALSE	FALSE	FALSE	FALSE
4	3990000	19658	160	644	1934	24937	2610	"Hus"	2011-04-23	493	FALSE	FALSE	FALSE	FALSE
3	3095000	17563	83	810	1936	37289	2720	"Hus"	2011-04-24	76	TRUE	TRUE	TRUE	TRUE
7	6395000	32284	214	704	1916	29883	2720	"Hus"	2011-04-24	223	FALSE	FALSE	FALSE	FALSE
5	3595000	17656	155	1081	1955	23193	2610	"Hus"	2011-04-26	563	FALSE	FALSE	FALSE	FALSE
4	3200000	17935	93	481	1943	34408	2720	"Rakkehus"	2011-04-26	56	TRUE	TRUE	TRUE	TRUE
5	3350000	17947	140	735	1929	23928	2720	"Hus"	2011-04-29	339	FALSE	FALSE	FALSE	TRUE
3	2245000	12246	86	819	1954	26104	2750	"Hus"	2011-04-29	161	FALSE	FALSE	FALSE	FALSE
5	3250000	17124	139	784	1969	23381	2750	"Hus"	2011-04-29	433	FALSE	FALSE	FALSE	TRUE
5	2725000	14184	115	639	1964	23695	2610	"Hus"	2011-04-30	133	TRUE	TRUE	FALSE	TRUE
4	2495000	12961	108	141	2006	23101	2750	"Rakkehus"	2011-05-01	135	TRUE	TRUE	FALSE	TRUE
4	2995000	15728	104	706	1933	28798	2610	"Hus"	2011-05-03	229	TRUE	FALSE	FALSE	TRUE
5	3575000	19477	104	699	1928	34375	2720	"Hus"	2011-05-04	40	TRUE	TRUE	TRUE	TRUE
3	2850000	16026	93	657	1934	30645	2720	"Hus"	2011-05-04	183	FALSE	FALSE	FALSE	FALSE
2	2995000	15926	110	544	1930	27227	2720	"Hus"	2011-05-05	167	TRUE	TRUE	FALSE	TRUE
4	3095000	16053	143	785	1973	21643	2610	"Hus"	2011-05-06	285	FALSE	FALSE	FALSE	FALSE
4	2795000	14476	90	162	1944	31055	2720	"Rakkehus"	2011-05-06	493	FALSE	FALSE	FALSE	FALSE
